user_id,timestamp,activity_type,direction,peer_number,duration_sec,location,device_imei,sim_imsi,network_type,data_used_mb,is_roaming,is_spam_or_fraud
U337,2024-12-25 11:21:00,sms,incoming,99XXXX4044,0,Mumbai,356789123456789,899110888888888,4G,0.0,no,0
U328,2025-01-15 12:22:15,call,incoming,97XXXX3824,774,Delhi,123456789012345,899110555555555,5G,0.9,yes,1
U188,2024-12-30 16:14:37,call,incoming,92XXXX6398,145,Surat,990011223344556,899110123456789,5G,2.4,no,0
U464,2025-01-04 23:57:10,sms,incoming,98XXXX7248,0,Nagpur,356789123456789,899110777777777,5G,0.0,no,0
U498,2024-12-21 11:58:46,sms,incoming,99XXXX9692,0,Pune,990011223344556,899110666666666,5G,0.0,no,0
U294,2025-01-08 16:44:28,sms,incoming,96XXXX6474,0,Mumbai,990011223344556,899110888888888,4G,0.0,no,0
U093,2025-01-03 15:44:55,sms,incoming,95XXXX3450,0,Kolkata,667788990011223,899110999999999,5G,0.0,no,0
U102,2025-01-06 16:43:00,sms,incoming,97XXXX3979,0,Chennai,448899001122334,899110999999999,5G,0.0,no,0
U423,2024-12-17 13:40:27,call,incoming,99XXXX8118,92,Bangalore,556677889900112,899110666666666,5G,1.0,yes,0
U385,2024-12-28 12:57:05,sms,incoming,95XXXX9819,0,Pune,990011223344556,899110666666666,4G,0.0,no,0
U353,2025-01-15 19:42:23,sms,incoming,97XXXX2430,0,Delhi,123456789012345,899110555555555,4G,0.0,yes,1
U283,2025-01-13 15:44:03,call,incoming,98XXXX2568,153,Delhi,889900112233445,899110666666666,4G,1.7,no,0
U410,2025-01-10 14:52:22,call,incoming,96XXXX6318,273,Bangalore,556677889900112,899110777777777,5G,0.9,no,0
U005,2024-12-28 21:31:43,call,incoming,98XXXX2310,1418,Lucknow,667788990011223,899110555555555,4G,1.2,no,0
U355,2024-12-20 10:56:13,call,incoming,99XXXX5037,1736,Chennai,356789123456789,899110123456789,5G,0.2,no,0
U076,2024-12-26 06:31:18,call,incoming,99XXXX9604,375,Bangalore,556677889900112,899110888888888,4G,0.7,yes,0
U259,2024-12-18 08:59:26,sms,incoming,92XXXX5467,0,Delhi,778899001122334,899110555555555,5G,0.0,no,0
U031,2025-01-02 23:23:48,sms,incoming,91XXXX3366,0,Kolkata,448899001122334,899110777777777,5G,0.0,no,0
